,Regime_0,Regime_1,Regime_2
2014-02-11,0.9999992525813419,4.0326966619768605e-07,3.441489924664405e-07
2014-02-12,7.40706271079792e-07,0.9999902384642021,9.020829537478588e-06
2014-02-13,0.9999987303170985,7.409235103346485e-07,5.287593825834228e-07
2014-02-14,1.2491831625467748e-06,0.9999797647054015,1.8986111420577047e-05
2014-02-18,0.9999917214231483,1.249379930875348e-06,7.029196912900777e-06
2014-02-19,8.188163424540814e-06,0.9999825258816414,9.285954952222792e-06
2014-02-20,0.9999915366722149,8.188421978146748e-06,2.7490578670482155e-07
2014-02-21,8.460281216563513e-06,0.9999835919590592,7.947759706340802e-06
2014-02-24,0.9999912469736455,8.460390804878629e-06,2.9263554351589853e-07
2014-02-25,8.741031618525069e-06,0.999976452453063,1.4806515290451498e-05
2014-02-26,0.9999902177435573,8.741027625734824e-06,1.0412288309049156e-06
2014-02-28,9.724905470235214e-06,0.9999757527154189,1.4522379089372436e-05
2014-03-03,0.9999838327339121,9.723440370311056e-06,6.44382570555917e-06
2014-03-04,1.119234719487289e-05,0.9993273441285728,0.0006614635242477365
2014-03-05,0.9993953404534974,1.1156241260056427e-05,0.0005935033052568607
2014-03-06,2.137429755711624e-05,0.9872667084564919,0.01271191724596029
2014-03-07,1.7892025547368796e-22,3.581765933609172e-23,1.0
2014-03-10,5.8294285029221547e-05,0.0004855661659789119,0.9994561395489518
2014-03-11,0.0004906754086658101,0.0018425776949615304,0.9976667468963998
2014-03-12,0.0037790121755938125,0.015050111479806913,0.9811708763445917
2014-03-13,0.07919022477813607,0.9144839614588319,0.006325813763083446
2014-03-14,0.9094689853959059,0.07898322702080722,0.011547787583295612
2014-03-18,0.07544050285351141,0.899204972702307,0.025354524444155157
2014-03-19,0.8878557924436355,0.07432917671685363,0.03781503083952151
2014-03-20,0.07280856889303458,0.8833513798999788,0.04384005120694479
2014-03-21,0.8685733520948739,0.07259218870412054,0.05883445920096576
2014-03-24,0.07249004136578659,0.8699801202297353,0.05752983840451611
2014-03-25,0.8685187329394987,0.07507249555706792,0.056408771503403496
2014-03-26,0.07479544098151528,0.8715664798191612,0.05363807919931752
2014-03-27,0.8713887447427816,0.07757568099529301,0.0510355742619036
2014-03-28,0.07871201605559101,0.8981228597960131,0.023165124148434347
2014-03-31,0.9032717371828558,0.09554794892813254,0.0011803138890613349
2014-04-01,0.09562617009444849,0.9041547392934899,0.00021909061202926529
2014-04-02,0.9035002496734228,0.09567006118549504,0.0008296891410339137
2014-04-03,0.0954027420528813,0.9020774571673772,0.0025198007797207237
2014-04-04,0.8909508635848792,0.09487890075141875,0.014170235663733889
2014-04-07,0.09165752051554832,0.8720017272111007,0.03634075227334896
2014-04-09,8.820737323040903e-37,3.9669415455417675e-25,1.0
2014-04-10,2.8091025569967175e-06,6.621172183668265e-05,0.9999309791755541
2014-04-11,2.43903192802551e-05,9.137399403028591e-05,0.9998842356866845
2014-04-15,1.5757386307714375e-05,6.992795154968456e-05,0.999914314662101
2014-04-16,1.636044455717648e-06,8.579360434943152e-06,0.999989784595068
2014-04-17,1.8207175393112037e-06,2.2635100388175765e-05,0.999975544182059
2014-04-21,1.1528025791901518e-05,0.00036856935843572567,0.9996199026157367
2014-04-22,0.0005361459957085224,0.001340027908212281,0.9981238260960603
2014-04-23,0.0014699045973905528,0.016304182790720226,0.9822259126119035
2014-04-25,0.017007991974366928,0.008223509207057946,0.9747684988186255
2014-04-28,0.008408114567971829,0.05374770859714663,0.937844176834875
2014-04-29,0.05654833494736584,0.03264671098809206,0.910804954064576
2014-04-30,0.03389863882801091,0.23750531194503122,0.7285960492269702
2014-05-02,0.24074170813364934,0.06120736980625452,0.6980509220600986
2014-05-05,0.06261863710187827,0.38843677496341195,0.5489445879346574
2014-05-06,0.4076383985516083,0.27760753570326846,0.3147540657451551
2014-05-07,0.2818286037689988,0.6941861661057073,0.023985230125308465
2014-05-08,0.6962086117389202,0.2969238417344332,0.0068675465266085575
2014-05-09,0.2970119862207979,0.7029405114368322,4.750234240779072e-05
2014-05-12,0.7029459312130436,0.2970468476215549,7.221165404217699e-06
2014-05-13,0.2970464287741835,0.70295287016937,7.010563911159294e-07
2014-05-14,7.545045456088562e-234,2.9278407753926516e-185,1.0
2014-05-15,0.002378577472307596,0.0019007363048590157,0.9957206862228053
2014-05-16,0.011200660266710967,0.8736807934065086,0.11511854632676588
2014-05-19,0.8752157755714426,0.010967810453232208,0.11381641397532677
2014-05-20,0.01088552203898724,0.5465450936856577,0.4425693842753156
2014-05-21,0.5439950545594225,0.0002300392380673338,0.45577490620249606
