Date,Regime_0,Regime_1,Regime_2
2022-04-11,1.6653982647277342e-08,7.648560261234608e-08,0.9999999068604709
2022-04-12,1.5960152342371387e-09,3.208922139921034e-08,0.9999999663159548
2022-04-13,2.600130871067817e-10,6.522417966617734e-09,0.9999999932188075
2022-04-18,1.3462450372373132e-12,2.555716805724791e-09,0.9999999974425009
2022-04-19,4.934779164535583e-12,3.775784405420939e-11,0.9999999999563443
2022-04-20,9.968011613580968e-11,7.726114453227523e-09,0.9999999921747076
2022-04-21,4.972004956588128e-10,2.6982721057202628e-09,0.9999999968058546
2022-04-22,5.36329891730871e-10,1.5736238795297564e-08,0.9999999837273209
2022-04-25,3.913841707378382e-11,2.738203840340095e-09,0.9999999972242222
2022-04-26,9.85738713432702e-10,2.1930669732658374e-09,0.9999999968204065
2022-04-27,1.1223199010087049e-09,4.117469715039118e-08,0.9999999577012213
2022-04-28,4.1217461369082126e-10,3.865643132791612e-09,0.9999999957217369
2022-04-29,5.585155102440959e-09,1.4835828532819755e-08,0.9999999795800252
2022-05-02,6.127518756384558e-10,2.0246544584495158e-08,0.9999999791398297
2022-05-04,7.601262101814808e-11,6.119547839645172e-09,0.9999999938045221
2022-05-05,2.3169827682668518e-10,2.3693114739266033e-09,0.9999999973988452
2022-05-06,1.1393269735623963e-10,6.451296114882277e-09,0.9999999934334483
2022-05-09,2.1027608176216181e-10,1.5691938830068157e-09,0.9999999982210284
2022-05-10,5.743938998543133e-09,9.319351427238374e-09,0.9999999849351299
2022-05-11,2.816832785626924e-09,3.1759105020633965e-08,0.99999996542465
2022-05-12,2.491687081236738e-09,1.068572959848378e-08,0.9999999868232408
2022-05-13,7.32655735783425e-09,5.155844636598262e-08,0.9999999411156768
2022-05-16,1.0919781198222735e-09,2.983396690587209e-08,0.9999999690735426
2022-05-17,3.6467012452160173e-09,5.66659957188367e-09,0.9999999906867743
2022-05-18,3.2134031383466517e-09,6.352573061487986e-08,0.999999933261281
2022-05-19,2.6433971281021863e-10,7.4762504784807e-09,0.9999999922583811
2022-05-20,8.174249535147223e-10,6.582761929088921e-09,0.9999999926003511
2022-05-23,5.016043023591071e-09,2.0079653810626962e-08,0.9999999749052225
2022-05-24,1.2310162722642793e-08,2.5657569358342426e-08,0.9999999620340538
2022-05-25,6.0138847239448635e-09,8.566637333699967e-08,0.9999999083193003
2022-05-26,3.507215052908287e-09,1.0774530957838657e-08,0.9999999857172952
