,Strategy
2014-08-12,0.016746143608788913
2014-08-13,0.005545452680672902
2014-08-14,0.0007220356357814651
2014-08-18,-0.009165857736802414
2014-08-19,-0.0021159688369378157
2014-08-20,0.0011942107397227265
2014-08-21,-0.0009888445310488373
2014-08-22,0.009206301924536073
2014-08-25,0.004671677889487093
2014-08-26,-0.00063161631222715
2014-08-27,0.001108600846673814
2014-08-28,-0.005489500554035771
2014-09-01,0.0001482479599332928
2014-09-02,0.0024586997805457005
2014-09-03,0.020931030752928417
2014-09-04,-0.004286453609124552
2014-09-05,0.003723523960128225
2014-09-08,0.008564171805977964
2014-09-09,-0.00756909620208501
2014-09-10,-0.011551082373754521
2014-09-11,0.002884144987109601
2014-09-12,-0.0031764288570157806
2014-09-15,-0.00380380728182191
2014-09-16,0.0013338265526954397
2014-09-17,0.012004344208239327
2014-09-18,-0.005747119845846365
2014-09-19,0.0006667395020477164
2014-09-22,-0.006783594653421797
2014-09-23,-0.005816050600550229
2014-09-24,0.00510136050310738
2014-09-25,0.006186974537241747
2014-09-26,-0.0014348554384336354
2014-09-29,0.009138282950840182
2014-09-30,-0.00016920706512241085
2014-10-01,0.0129651710979812
2014-10-07,-0.002029948862839041
2014-10-08,-0.023078090055980095
2014-10-09,-0.0004479904651689411
2014-10-10,0.032370064914528325
2014-10-13,0.006765403664879548
2014-10-14,-0.003002203550304575
2014-10-16,-0.002887102577395986
2014-10-17,0.00646061374650302
2014-10-20,-0.006709806445160974
2014-10-21,0.0016630954873280515
2014-10-22,-0.001801976504328036
2014-10-27,0.0034215136268692784
2014-10-28,-0.0018459129733551334
2014-10-29,-0.0035576326820662206
2014-10-30,0.00485872683970971
2014-10-31,0.014398127038948173
2014-11-03,-0.001071127665518168
2014-11-05,0.0019584176670882623
2014-11-07,-0.012421944593673118
2014-11-10,0.0049103315790850815
2014-11-11,0.0030513560035237896
2014-11-12,0.0036017870667372004
2014-11-13,0.003912449020166889
2014-11-14,0.013121180307308827
2014-11-17,-0.01018190712692581
2014-11-18,0.012246468345181095
2014-11-19,-0.005147938962463952
2014-11-20,-0.007654240783861282
2014-11-21,-0.003384198049415643
2014-11-24,0.010223130590084123
2014-11-25,-0.010958333066015718
2014-11-26,-0.002771243390658856
2014-11-27,0.0021184735238977915
2014-11-28,0.022271004952498775
2014-12-01,0.0005369054363798934
2014-12-02,0.0013490162274193591
2014-12-03,0.00396771180001735
2014-12-04,0.0060106314352690446
2014-12-05,-0.001136738146719141
2014-12-08,-0.010759478514465712
2014-12-09,-0.009696473414993394
2014-12-10,0.007706126909740221
2014-12-11,-0.0025676416629195086
2014-12-12,-0.004678063829357606
2014-12-15,0.003258911758774046
2014-12-16,-0.02413739911820105
2014-12-17,0.001614939133411361
2014-12-18,0.021101840316561322
2014-12-19,0.0067983350577577
2014-12-22,0.0002545194628499657
2014-12-23,-0.007486655543908009
2014-12-24,-0.0111648887513538
2014-12-26,0.006020309233624013
2014-12-29,0.001522778905535573
2014-12-30,0.002339008449096392
2014-12-31,0.0016888931275240873
2015-01-02,0.011037587325573452
2015-01-05,-0.004602550862372742
2015-01-06,-0.011190412835772087
2015-01-07,0.0025626739469782893
2015-01-08,0.002700496003086772
2015-01-09,0.027412060356392993
2015-01-12,0.010714991160468925
2015-01-13,-0.00684718255353145
2015-01-14,0.010192094599598385
2015-01-15,0.001409160500467628
2015-01-16,-0.004002627103673073
2015-01-19,-0.003995191350436518
2015-01-20,0.0055280308625691756
2015-01-21,0.01152307354739377
2015-01-22,-0.008798566094748375
2015-01-23,0.00478410526250491
2015-01-27,-0.008279943626402844
2015-01-28,0.0021286208973269067
2015-01-29,-0.006834076685602142
2015-01-30,-0.0009481535012665738
2015-02-02,-0.003689134343263088
2015-02-03,-0.004216997051836257
2015-02-04,-0.010974948627332759
2015-02-05,0.013432633374403827
2015-02-06,0.0001855190966266579
2015-02-09,0.004660364353249956
2015-02-10,0.00016772364665087997
2015-02-11,0.0016243244397279538
2015-02-12,-0.008549260084978005
2015-02-13,-0.0036912298103969885
2015-02-16,0.0027129727751612903
2015-02-18,0.004400797833432165
2015-02-19,-0.003199795058498423
2015-02-20,-0.01010963442964262
2015-02-23,-0.0053800192633794985
2015-02-24,-0.0019947005166488616
2015-02-25,0.0032796986673050135
2015-02-26,-0.0042218954430695566
2015-02-27,0.006985311383835825
2015-03-02,0.02029774674867951
2015-03-03,0.0014170415796858577
2015-03-04,-0.007897349817612923
2015-03-05,0.0016452037880616585
2015-03-09,-0.013942477703405249
2015-03-10,-0.0006534209411566116
2015-03-11,-0.0006519393258953433
2015-03-12,0.0064490767945306155
2015-03-13,-0.009250075006919658
2015-03-16,0.012013949053644042
2015-03-17,0.0066403968380419525
2015-03-18,-0.00021796793637167
2015-03-19,-0.008545859184892843
2015-03-20,0.006458376353235727
2015-03-23,-0.004976564032798457
2015-03-24,-0.007608582843704684
2015-03-25,-0.0008783697680832071
2015-03-26,-0.024433194564362316
2015-03-27,0.009591369102905183
2015-03-30,0.017924291946959423
2015-03-31,-0.009748395498874317
2015-04-01,0.01664226304881275
2015-04-06,-0.0008324601881702275
2015-04-07,-0.003917617406294606
2015-04-08,-0.0006649366797392995
2015-04-09,0.021402740662250834
2015-04-10,-0.006838582967937309
2015-04-13,-0.0014016182015856506
2015-04-16,-0.008070424877108191
2015-04-17,-0.012931873895868126
2015-04-20,-0.011899812040688646
2015-04-21,-0.0009697569675725432
2015-04-22,0.007974028054306127
2015-04-23,0.00020117013717679897
2015-04-24,-0.010148404316969192
2015-04-27,-0.007817498808372854
2015-04-28,0.015123913257095792
2015-04-29,-0.002291871500828846
2015-04-30,0.0016136274871981575
2015-05-04,0.007414371404565832
2015-05-05,-0.0013442356063799973
2015-05-06,-0.03030457583576603
2015-05-07,-0.019782301230749266
2015-05-08,0.03199889106946153
2015-05-11,0.008007458459172884
2015-05-12,-0.02029352785451042
2015-05-13,0.01842669538301038
2015-05-14,-0.0007792536418274725
2015-05-15,-0.001645479258093724
2015-05-18,0.01954698328053153
2015-05-19,-0.0009939587210485337
2015-05-20,0.015740877700760127
2015-05-21,-0.0019236016122768276
2015-05-22,0.0011337698532470214
2015-05-25,-0.00246986459999211
2015-05-26,0.000974360143484708
2015-05-27,0.008470678710491852
2015-05-28,-0.008664490080970835
2015-05-29,0.016599754711105044
2015-06-01,0.0011183752916220431
2015-06-02,-0.012646887744346655
2015-06-03,0.0040344914555435225
2015-06-04,0.002340357682802811
2015-06-05,-0.0053493102336214324
2015-06-08,-0.003814480993486096
2015-06-09,-0.0026294085205853827
2015-06-10,0.011423053790018602
2015-06-11,-0.009417546869433833
2015-06-12,-0.007483807934441888
2015-06-15,0.012019316227699936
2015-06-16,0.005944127941117436
2015-06-17,-0.0024158840966086123
2015-06-18,0.004152116379812195
2015-06-19,-0.00435743446298345
2015-06-22,0.01894111691292604
2015-06-23,-0.015150968510901967
2015-06-24,-0.0035046342207897276
2015-06-25,-0.003091209255296549
2015-06-26,0.009884675383749226
2015-06-29,-0.009936522989696082
2015-06-30,0.00457545910385898
2015-07-01,0.006982952629910319
2015-07-02,-0.002660461967579092
2015-07-03,0.0034696432415571403
2015-07-06,0.003964768857393512
2015-07-07,-0.0006335232520389678
2015-07-08,-0.007625730222626856
2015-07-09,0.001103999412986694
2015-07-10,0.007159189560551367
2015-07-13,0.004153518282885237
2015-07-14,-0.0018062746443554922
2015-07-15,0.0008590371237478075
2015-07-16,0.007557269384609999
2015-07-17,-0.0017124931817289561
2015-07-20,0.0019486285158818993
2015-07-21,-0.0072722672338074385
2015-07-22,0.006855923268970119
2015-07-23,-0.0031094237835661417
2015-07-24,-2.08266278179413e-05
2015-07-27,-0.010152570163200819
2015-07-28,0.005315112903932325
2015-07-29,-0.00011584557078993988
2015-07-30,0.001699366679606074
2015-07-31,0.0008478464998302448
2015-08-03,-0.012513897516159398
2015-08-04,-0.0069945389749630485
2015-08-05,0.00453069900221234
2015-08-06,0.0029392049327138987
2015-08-07,-0.00257757980599144
2015-08-10,0.0015668921173973107
2015-08-11,3.9034553383905485e-05
2015-08-12,-0.01896380314225881
2015-08-13,0.005678090179086028
2015-08-14,0.019265572402641654
2015-08-17,-0.008002654959342546
2015-08-18,-0.004039137426589755
2015-08-19,-0.003546279228753181
2015-08-20,-0.00565775377024656
2015-08-21,-0.010674066689817465
2015-08-24,-0.008320781474692538
2015-08-25,-0.0035563003842477812
2015-08-26,-0.017122967301393077
2015-08-27,0.007530546556379237
2015-08-28,0.017663082165635648
2015-08-31,-0.01014564640080926
2015-09-01,-0.003340535863949369
2015-09-02,0.0064964814305691135
2015-09-03,-6.14156906704044e-05
2015-09-04,-0.01564209728439043
2015-09-07,-0.009581918512422676
2015-09-08,3.204309717358605e-05
2015-09-09,0.019118246303805774
2015-09-10,-0.005130172634248603
2015-09-11,0.0064538938498379435
2015-09-14,0.005586224626828754
2015-09-15,-0.00033868760833821667
2015-09-16,0.0015091517620018223
2015-09-18,0.0017206182561369137
2015-09-21,0.002705374737949466
2015-09-22,-0.01879531589757983
2015-09-23,0.01597279412188545
2015-09-24,0.0018610080440905027
2015-09-28,-0.0042203564214683565
2015-09-29,0.00827659380625675
2015-09-30,0.020065899982969846
2015-10-01,0.005362675424624191
